Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,1.0,0.0,1.0,0.0,0.414,0.432,0.303,0.25,0.7,0.762,43.0,43.0,25.0,19.0,6.0,6.0,3.0,6.0,13.0,17.0,11.0,-11.0
W,0.0,0.0,0.5,1.0,0.65,0.453,0.588,0.444,0.625,0.909,30.0,41.0,37.0,34.0,9.0,6.0,6.0,2.0,17.0,16.0,12.0,-12.0
W,1.0,0.0,1.0,0.3333333333333333,0.443,0.395,0.278,0.259,0.759,0.8,54.0,37.0,21.0,23.0,8.0,7.0,12.0,6.0,19.0,14.0,11.0,-11.0
W,1.0,0.0,0.5,0.25,0.494,0.43,0.533,0.4,0.917,0.792,44.0,38.0,34.0,31.0,10.0,5.0,5.0,12.0,18.0,20.0,15.0,-15.0
L,0.0,0.0,0.25,1.0,0.462,0.495,0.438,0.364,0.682,0.8,40.0,46.0,23.0,22.0,4.0,6.0,6.0,12.0,14.0,12.0,-5.0,5.0
W,1.0,0.0,0.25,0.5,0.495,0.537,0.447,0.321,0.875,0.722,36.0,44.0,27.0,21.0,10.0,6.0,4.0,5.0,12.0,20.0,8.0,-8.0
L,0.0,0.0,0.25,0.3333333333333333,0.462,0.506,0.343,0.5,0.9,0.771,45.0,37.0,20.0,25.0,10.0,8.0,6.0,4.0,15.0,18.0,-4.0,4.0
L,0.0,1.0,0.0,1.0,0.482,0.533,0.316,0.424,0.818,0.722,40.0,43.0,28.0,27.0,5.0,5.0,2.0,3.0,13.0,14.0,-15.0,15.0
W,0.0,0.0,0.5,0.4,0.5,0.45499999999999996,0.391,0.3468,0.867,0.8486,50.0,43.6,30.0,25.0,4.0,6.8,2.0,2.4,21.0,15.0,13.0,0.2
W,1.0,1.0,0.6,1.0,0.49260000000000004,0.45620000000000005,0.36920000000000003,0.3592,0.7492,0.692,42.8,48.6,29.2,29.2,8.2,10.6,3.4,6.0,15.6,17.2,-5.0,6.0
W,0.0,2.0,0.6,0.6,0.46799999999999997,0.44820000000000004,0.3886,0.374,0.7376,0.8443999999999999,43.0,44.6,30.8,24.8,7.8,9.2,4.2,5.4,15.0,14.0,-3.6,1.4
W,0.0,0.0,0.0,0.5,0.4452,0.384,0.2986,0.289,0.7605999999999999,0.667,44.8,47.0,18.2,21.0,6.2,3.0,5.8,4.0,15.2,15.0,-8.8,-20.0
W,1.0,0.0,0.6,0.0,0.4976,0.416,0.3472,0.31,0.747,0.704,49.8,55.0,26.0,20.0,7.2,8.0,5.2,5.0,16.4,22.0,2.8,-9.0
W,2.0,3.0,1.0,1.0,0.385,0.398,0.289,0.343,0.815,0.688,60.0,54.0,23.0,19.0,8.0,6.0,8.0,5.0,7.0,13.0,11.0,-11.0
L,1.0,0.0,0.6,0.2,0.45499999999999996,0.471,0.41100000000000003,0.3598,0.7444,0.806,42.0,37.6,24.4,22.6,9.6,6.8,4.8,4.4,11.0,11.4,2.8,-3.2
L,0.0,0.0,0.2,1.0,0.42379999999999995,0.567,0.35419999999999996,0.414,0.7190000000000001,0.778,44.8,45.0,23.6,31.0,6.4,5.0,3.2,8.0,13.8,7.0,-11.0,24.0
