Home Team,Away Team,Game Date,Winner,Home Win/Loss,fg_pct_home,fg3_pct_home,ft_pct_home,reb_home,ast_home,stl_home,blk_home,tov_home,plus_minus_home,fg_pct_away,fg3_pct_away,ft_pct_away,reb_away,ast_away,stl_away,blk_away,tov_away,plus_minus_away
WAS,DET,2022-10-25,WAS,W,0.518,0.303,0.846,47.0,26.0,7.0,7.0,12.0,21,0.409,0.286,0.76,41.0,12.0,6.0,1.0,13.0,-21
PHX,GSW,2022-10-25,PHX,W,0.511,0.414,0.824,48.0,31.0,8.0,4.0,14.0,29,0.451,0.286,0.765,40.0,28.0,7.0,7.0,16.0,-29
NYK,CHA,2022-10-26,NYK,W,0.536,0.367,0.864,46.0,26.0,5.0,11.0,16.0,3,0.495,0.419,0.667,42.0,31.0,9.0,5.0,15.0,-3
TOR,PHI,2022-10-26,TOR,W,0.548,0.432,0.786,39.0,32.0,9.0,5.0,9.0,10,0.506,0.444,0.684,34.0,29.0,6.0,2.0,13.0,-10
UTA,HOU,2022-10-26,UTA,W,0.422,0.289,0.667,53.0,28.0,11.0,5.0,16.0,8,0.383,0.275,0.75,49.0,19.0,7.0,2.0,19.0,-8
POR,MIA,2022-10-26,MIA,L,0.436,0.324,0.692,38.0,20.0,9.0,4.0,19.0,-21,0.506,0.395,0.842,46.0,34.0,13.0,2.0,18.0,21
DEN,LAL,2022-10-26,DEN,W,0.457,0.265,0.81,54.0,34.0,12.0,5.0,11.0,11,0.444,0.267,0.688,47.0,25.0,8.0,4.0,14.0,-11
CLE,ORL,2022-10-26,CLE,W,0.414,0.303,0.7,43.0,25.0,6.0,3.0,13.0,11,0.432,0.25,0.762,43.0,19.0,6.0,6.0,17.0,-11
MIN,SAS,2022-10-26,MIN,W,0.65,0.588,0.625,30.0,37.0,9.0,6.0,17.0,12,0.453,0.444,0.909,41.0,34.0,6.0,2.0,16.0,-12
MIL,BKN,2022-10-26,MIL,W,0.443,0.278,0.759,54.0,21.0,8.0,12.0,19.0,11,0.395,0.259,0.8,37.0,23.0,7.0,6.0,14.0,-11
CHI,IND,2022-10-26,CHI,W,0.494,0.533,0.917,44.0,34.0,10.0,5.0,18.0,15,0.43,0.4,0.792,38.0,31.0,5.0,12.0,20.0,-15
DET,ATL,2022-10-26,ATL,L,0.462,0.438,0.682,40.0,23.0,4.0,6.0,14.0,-5,0.495,0.364,0.8,46.0,22.0,6.0,12.0,12.0,5
